step up uk temperature
1 -4.534432595311512e-17 1.6035023815683727e-19 71.7258177477354
2 -4.534306930949161e-17 1.5909477437472085e-19 71.16423974535734
3 -4.5340995823071794e-17 1.570232137750671e-19 70.23761575195344
4 -4.5338136222031045e-17 1.541662496702366e-19 68.95967510745956
5 -4.533453261908771e-17 1.5056594779365628e-19 67.34923411775644
6 -4.53302377600163e-17 1.462749957035877e-19 65.42986030756293
7 -4.5325314091970957e-17 1.4135577218875412e-19 63.229456158862995
8 -4.5319832669037807e-17 1.3587925408107632e-19 60.77977012035978
9 -4.5313871915280756e-17 1.299237807165431e-19 58.115843941914065
10 -4.530751626805132e-17 1.2357369879592827e-19 55.27540651097167
11 -4.530085472648645e-17 1.1691791253925103e-19 52.298225326199244
12 -4.529397933184033e-17 1.1004836575888562e-19 49.225427517841126
13 -4.528698360759039e-17 1.0305848375532578e-19 46.098802896459915
14 -4.5279960988040956e-17 9.604160372959108e-20 42.960101865088156
15 -4.5273003264421134e-17 8.908942267543568e-20 39.85034115022172
16 -4.5266199077200565e-17 8.229049143878898e-20 36.80913018374887
17 -4.525963248251245e-17 7.572878279689418e-20 33.87403059442395
18 -4.525338161916756e-17 6.948236001291674e-20 31.079960642743217
19 -4.5247517500811275e-17 6.362217037432583e-20 28.4586555619636
20 -4.5242102955280977e-17 5.821098575083778e-20 26.03819366203157
21 -4.523719173027471e-17 5.3302509251187035e-20 23.84259673071526
22 -4.5232827781048085e-17 4.894066367374721e-20 21.891511752436575
23 -4.5229044752111446e-17 4.515907370468019e-20 20.199979291769633
24 -4.522586566087678e-17 4.198074980215844e-20 18.778292092574002
25 -4.522330278700026e-17 3.941797750989539e-20 17.63194556713875
26 -4.522135776689505e-17 3.7472411668645006e-20 16.761679937665505
27 -4.522002188861563e-17 3.6135370745269576e-20 16.163611891782775
28 -4.52192765782085e-17 3.5388322380314375e-20 15.829451771477176
29 -4.521909406472067e-17 3.520354736803287e-20 15.74680057614639
30 -4.521943820748506e-17 3.5544965721457656e-20 15.899519467461824
31 -4.522026546616678e-17 3.636910532289323e-20 16.268163053718567
32 -4.522152599135005e-17 3.7626190987365364e-20 16.830466535769084
33 -4.5223164811328854e-17 3.9261329628086137e-20 17.56187584008147
34 -4.5225123089180255e-17 4.12157656473429e-20 18.436109164136205
35 -4.5227339423237965e-17 4.342817970481864e-20 19.425737924860726
36 -4.5229751163709555e-17 4.583600364289749e-20 20.502774934199987
37 -4.5232295718394645e-17 4.837672456392187e-20 21.639257722276735
38 -4.523491182124436e-17 5.0989151832354525e-20 22.807815276594436
39 -4.52375407388101e-17 5.3614622077821206e-20 23.98220704858705
40 -4.524012739141195e-17 5.619811905554783e-20 25.137823875267415
41 -4.524262136806115e-17 5.86892874236102e-20 26.252141449101
42 -4.524497781674417e-17 6.10433220612203e-20 27.305118116487876
43 -4.524715819454446e-17 6.322171741534857e-20 28.27953006591008
44 -4.5249130865168547e-17 6.519286445936991e-20 29.161238351838392
45 -4.525087153472559e-17 6.69324861123894e-20 29.93938366093639
46 -4.525236351997461e-17 6.842390533803612e-20 30.606506234584057
47 -4.525359784666756e-17 6.965814355553996e-20 31.158589888862032
48 -4.5254573179038024e-17 7.063385039509042e-20 31.595030593617114
49 -4.525529558478707e-17 7.135706915783012e-20 31.918531561026175
50 -4.5255778143155625e-17 7.184084554507325e-20 32.134928227354294
51 -4.525604040668341e-17 7.210469025079821e-20 32.25294786670165
52 -4.5256107730072657e-17 7.217390881797392e-20 32.283909830906204
53 -4.5256010482115274e-17 7.207881469716543e-20 32.24137354498364
54 -4.5255783158872346e-17 7.185384367206139e-20 32.140742383280276
55 -4.5255463418161486e-17 7.153658969098712e-20 31.998832389956664
56 -4.52550910569103e-17 7.116678362957476e-20 31.833415472166198
57 -4.5254706953991877e-17 7.078523757539648e-20 31.66274717095924
58 -4.5254352001779637e-17 7.043277784376169e-20 31.505089391555597
59 -4.5254066049813736e-17 7.014919008485824e-20 31.378238542162393
60 -4.5253886883637397e-17 6.997219951362387e-20 31.29906938344242
61 -4.5253849261056683e-17 6.993650848188571e-20 31.283104527592464
62 -4.5253984026781136e-17 7.007291232428657e-20 31.344118949850852
63 -4.525431732465886e-17 7.040751266326787e-20 31.493788094143795
64 -4.525486992453973e-17 7.096104518343403e-20 31.741387181711413
65 -4.5255656678239035e-17 7.174833632325678e-20 32.09354818538951
66 -4.525668611616426e-17 7.277790043493546e-20 32.55407963631037
67 -4.525796019300806e-17 7.405168579448302e-20 33.12385301238282
68 -4.525947418751954e-17 7.556497447607336e-20 33.80075795136579
69 -4.5261216757890903e-17 7.730643761694973e-20 34.579726971260385
70 -4.526317015075624e-17 7.925834407634404e-20 35.45282880494902
71 -4.5265310558323424e-17 8.139691702086744e-20 36.40942790341181
72 -4.526760861483475e-17 8.369282963627125e-20 37.43640617117161
73 -4.5270030020413866e-17 8.611182805461733e-20 38.51844160610902
74 -4.5272536277560335e-17 8.861546677397718e-20 39.63833725799659
75 -4.5275085523102445e-17 9.116193940337337e-20 40.77739282670127
76 -4.5277633436378135e-17 9.370698554659066e-20 41.915810317852326
77 -4.5280134202891067e-17 9.620485308990039e-20 43.03312448107908
78 -4.5282541511620115e-17 9.860929411212364e-20 44.1086482877633
79 -4.5284809563642887e-17 1.0087457210783965e-19 45.121923469243
80 -4.528689406972443e-17 1.0295645820854242e-19 46.053166133719095
81 -4.5288753215031205e-17 1.0481319459085422e-19 46.88369770569611
82 -4.5290348570120797e-17 1.0640640425128864e-19 47.596351874793626
83 -4.529164592880034e-17 1.0770192776778886e-19 48.175848885215984
84 -4.529261605530315e-17 1.0867056951381084e-19 48.60912932269227
85 -4.529323532542007e-17 1.0928873798764425e-19 48.885640538398754
86 -4.529348624873147e-17 1.0953896740859292e-19 48.99756996269141
87 -4.5293357861789124e-17 1.0941031044923141e-19 48.940020777076136
88 -4.529284598500523e-17 1.0889859485372625e-19 48.711126701434175
89 -4.529195333895886e-17 1.0800653967021344e-19 48.31210398560272
90 -4.529068951887606e-17 1.0674372983551164e-19 47.74724004093382
91 -4.528907082899498e-17 1.0512645083028519e-19 47.023819480356586
92 -4.528711998143901e-17 1.0317738801268156e-19 46.151989628145266
93 -4.528486566696252e-17 1.0092519798298351e-19 45.14456878823739
94 -4.528234200748532e-17 9.840396188015733e-20 44.01680169983777
95 -4.527958790263876e-17 9.565253281770144e-20 42.78606764076822
96 -4.5276646284575354e-17 9.271379169081175e-20 41.47154754464651
97 -4.527356329700798e-17 8.963382729536062e-20 40.09385726219387
98 -4.5270387415800215e-17 8.646105806347602e-20 38.6746547072267
99 -4.5267168529440424e-17 8.324531371895937e-20 37.23622907450321
100 -4.526395699833906e-17 8.003689577345742e-20 35.801080592886656
101 -4.5260802712128024e-17 7.688563601311367e-20 34.391499379635746
102 -4.5257754163974314e-17 7.383997196442658e-20 33.02915188961647
103 -4.5254857560368834e-17 7.094605778344596e-20 31.734683209628717
104 -4.525215598395275e-17 6.824692809776037e-20 30.527343038898
105 -4.524968862565583e-17 6.578173106662208e-20 29.42464263133927
106 -4.524749010085388e-17 6.358504533868201e-20 28.44204926582663
107 -4.5245589862355094e-17 6.168629371339928e-20 27.592723972713937
108 -4.5244011720930635e-17 6.010926419156624e-20 26.887307296281193
109 -4.52427734817432e-17 5.887174677821166e-20 26.33375683405424
110 -4.5241886702583654e-17 5.798529192752935e-20 25.93723918747958
111 -4.524135657722918e-17 5.745509394797571e-20 25.700077808183803
112 -4.5241181944631346e-17 5.728000007205673e-20 25.621757054954703
113 -4.5241355422029897e-17 5.745264329630773e-20 25.698981614022063
114 -4.524186365756677e-17 5.79596945688662e-20 25.925789304377435
115 -4.5242687695563487e-17 5.878222749935867e-20 26.29371421513628
116 -4.524380344538961e-17 5.989618653991641e-20 26.791996126282164
117 -4.524518224286767e-17 6.127294758387601e-20 27.40783126850779
118 -4.5246791491384646e-17 6.287995819134644e-20 28.126658700727518
119 -4.524859536847931e-17 6.468144321286783e-20 28.932475940627945
120 -4.525055558253244e-17 6.663916047088963e-20 29.808176986441953
121 -4.525263216343368e-17 6.871319039264424e-20 30.735905525426837
122 -4.525478427068874e-17 7.086274307761655e-20 31.69741594096285
123 -4.525697100237135e-17 7.30469662300375e-20 32.67443470658325
124 -4.525915218862813e-17 7.522573768507818e-20 33.64901488865547
125 -4.5261289154084566e-17 7.736042689209363e-20 34.6038767633269
126 -4.52633454344402e-17 7.941461066739071e-20 35.52272797789887
127 -4.5265287433787254e-17 8.135472976406587e-20 36.39055723924936
128 -4.5267085010677646e-17 8.315067429338637e-20 37.1938961770381
129 -4.526871198265416e-17 8.477628773243547e-20 37.9210447899604
130 -4.5270146540854925e-17 8.620978112442026e-20 38.562256720531515
131 -4.5271371568279595e-17 8.743405107711002e-20 39.10988149808106
132 -4.5272374857411725e-17 8.843689724624462e-20 39.55846182064977
133 -4.5273149224998265e-17 8.921113710935904e-20 39.90478489414879
134 -4.527369252390723e-17 8.975461794722176e-20 40.14788779174349
135 -4.5274007554049156e-17 9.007012801271315e-20 40.28901771905222
136 -4.527410187632605e-17 9.01652108407395e-20 40.33154895363191
137 -4.527398753541081e-17 9.005188850109141e-20 40.280859053986134
138 -4.527368069887798e-17 8.974630128599259e-20 40.144167689207634
139 -4.527320122167119e-17 8.926827282640813e-20 39.93034211236721
140 -4.527257214622434e-17 8.864081092116932e-20 39.64967387778195
141 -4.527181914958319e-17 8.788955542028116e-20 39.31363187523759
142 -4.527096994969756e-17 8.704218531265073e-20 38.93459711605418
143 -4.527005368359861e-17 8.612779771791788e-20 38.52558495165409
144 -4.5269100270463404e-17 8.517627176592286e-20 38.09996053226107
145 -4.526813977258225e-17 8.421763036438698e-20 37.67115332098183
146 -4.5267201767000226e-17 8.328141260936002e-20 37.2523763684738
147 -4.526631474010127e-17 8.239606909265948e-20 36.856355829602556
148 -4.5265505516661783e-17 8.158839161960385e-20 36.49507587207186
149 -4.5264798733941953e-17 8.088298788737049e-20 36.179543696265206
150 -4.5264216370203254e-17 8.030181051247931e-20 35.91957886584331
151 -4.5263777335727906e-17 7.986374846268666e-20 35.72363055228425
152 -4.52634971329223e-17 7.958428747529054e-20 35.59862563754273
153 -4.526338759051156e-17 7.947524446502154e-20 35.54984991278473
154 -4.5263456675188745e-17 7.954457927735218e-20 35.58086387428528
155 -4.526370838238954e-17 7.979628546579029e-20 35.69345386732434
156 -4.526414270620773e-17 8.023036010375352e-20 35.8876185828205
157 -4.526475568682594e-17 8.08428510216837e-20 36.16159018683293
158 -4.526553953232564e-17 8.16259783253199e-20 36.51188867656106
159 -4.5266482810289475e-17 8.256832563599406e-20 36.93340742350781
160 -4.52675707033785e-17 8.36550952291986e-20 37.41952729880059
161 -4.526878532194694e-17 8.486842015960276e-20 37.96225628896169
162 -4.527010606588492e-17 8.618772556981584e-20 38.55239111192335
163 -4.5271510027191973e-17 8.759013070112577e-20 39.17969703932983
164 -4.5272972424326935e-17 8.905088266539563e-20 39.833101925834505
165 -4.527446705914157e-17 9.05438127999594e-20 40.50090033993531
166 -4.527596678718557e-17 9.204180640701186e-20 41.17096368179095
167 -4.5277443992361444e-17 9.351727686486187e-20 41.83095225660309
168 -4.527887105727725e-17 9.494263547429383e-20 42.468525440281724
169 -4.528022082120219e-17 9.629074894824882e-20 43.071546317878344
170 -4.52814670182097e-17 9.75353771423804e-20 43.62827748361979
171 -4.528258468890848e-17 9.865158443033288e-20 44.12756505203654
172 -4.528355056005712e-17 9.961611902166565e-20 44.55900832960532
173 -4.5284343387310334e-17 1.0040775547246594e-19 44.91311302221593
174 -4.5284944257323304e-17 1.0100759661950397e-19 45.18142629249596
175 -4.5285336846437325e-17 1.0139933215032626e-19 45.35665242007794
176 -4.5285507634108e-17 1.0156945197819045e-19 45.43274824574631
177 -4.528544607016668e-17 1.01507413499354e-19 45.40499798682859
178 -4.528514469583315e-17 1.0120576265154582e-19 45.27006738752273
179 -4.528459921916694e-17 1.0066020945088341e-19 45.02603750710476
180 -4.5283808546304396e-17 9.986965934853739e-20 44.67241874599096
181 -4.5282774770387827e-17 9.883620231068733e-20 44.21014596112334
182 -4.5281503120559884e-17 9.756506198239597e-20 43.641555726604025
183 -4.528000187373682e-17 9.606450764843448e-20 42.97034695313762
184 -4.5278282232136894e-17 9.434573195580428e-20 42.20152619243348
185 -4.5276358169688165e-17 9.24226975208205e-20 41.341339023448064
186 -4.5274246250515896e-17 9.031195561783468e-20 40.39718895054334
187 -4.527196542271817e-17 8.803244014874272e-20 39.37754524456196
188 -4.526953679056942e-17 8.560524003555451e-20 38.29184113238259
189 -4.5266983368196364e-17 8.30533530765693e-20 37.15036369501221
