step up uk temperature
1 -1.6420015231505507e-17 1.3603974554748648e-19 102.68700599900852
11 -1.6602820659632647e-17 2.6856653883393654e-19 202.72232701836998
21 -1.680932574884555e-17 4.406387407803452e-19 332.60774515424606
31 -1.6955808395655572e-17 5.687159080599111e-19 429.28435089063345
41 -1.7045260001544184e-17 5.37233939983524e-19 405.5207880310417
51 -1.7110799669683438e-17 3.790362372244748e-19 286.1082708518077
61 -1.7139559850300666e-17 1.616537667452726e-19 122.02126113018765
71 -1.715675851822302e-17 4.149541203292513e-20 31.322019952389137
81 -1.7178972938514514e-17 3.4618781382130425e-20 26.131326526366564
91 -1.7194287898785803e-17 3.867437114348233e-20 29.192611068449825
101 -1.7206664399009752e-17 3.7779227319146516e-20 28.516928833896827
111 -1.721251026723888e-17 3.63108797564579e-20 27.40857469539395
121 -1.721441692403869e-17 2.0948533294069904e-20 15.812600614485133
131 -1.7214263272667736e-17 9.514428351288813e-21 7.181784685453512
141 -1.7217692969637994e-17 4.407991907423071e-21 3.327288577463067
151 -1.7218487693191882e-17 2.9056108398230827e-21 2.1932448972094525
161 -1.722013189184212e-17 2.0584516017460204e-21 1.5537829119459696
171 -1.721940547386146e-17 1.3857187185718964e-21 1.0459833322553567
181 -1.7219690177898845e-17 9.980592378346256e-22 0.7533659705877307
191 -1.721988703273694e-17 8.081086037575168e-22 0.6099853591164831
201 -1.72200304699479e-17 6.539760429366619e-22 0.49364133675774596
211 -1.7220146965473296e-17 4.086471024950419e-22 0.3084594674630449
221 -1.722023775159452e-17 3.491246606137436e-22 0.2635300880236591
231 -1.7220304910811207e-17 2.577930537340458e-22 0.1945901673717133
241 -1.7220361319804578e-17 2.0882535609608247e-22 0.15762783521745355
251 -1.7219302924749392e-17 1.736445274354914e-22 0.13107225802799774
261 -1.7219343115190937e-17 1.5282905783279523e-22 0.11536009800180799
271 -1.721937468315267e-17 1.3013782982898675e-22 0.09823205753999605
281 -1.7219401939012875e-17 1.3574950853003285e-22 0.10246792612472287
291 -1.721942596005146e-17 1.1362537921182237e-22 0.0857679492842862
301 -1.7219448180718827e-17 9.417989360255465e-23 0.0710898955333293
311 -1.7219468225101096e-17 6.871624613577412e-23 0.0518691471435493
321 -1.7219485396870152e-17 6.151244971779097e-23 0.046431498881182795
331 -1.7219498605257638e-17 5.002169077989093e-23 0.03775791876501429
341 -1.7219509714569994e-17 4.5097129977194747e-23 0.034040708014186856
351 -1.7219520274608144e-17 3.620365207027726e-23 0.027327635922612666
361 -1.72195302002913e-17 4.101746176408045e-23 0.030961248312258795
371 -1.7219539619061662e-17 3.8804053050192807e-23 0.0292904989811238
381 -1.7219549115713704e-17 4.3683107033650026e-23 0.03297335977781554
391 -1.7219558799500176e-17 4.363027331626327e-23 0.032933479254425774
401 -1.7219568232150197e-17 3.7986856969548355e-23 0.028673654113487587
411 -1.7219577247344364e-17 3.5466701179435195e-23 0.026771362605249996
421 -1.721958623460883e-17 3.70822367342461e-23 0.027990818790946635
431 -1.721959482190966e-17 3.965837964014603e-23 0.02993537110518269
441 -1.7219602652982264e-17 3.415628954454832e-23 0.02578222338809505
451 -1.7218503145457765e-17 3.3702957870729757e-23 0.025440034624645048
461 -1.7218512542528578e-17 3.721027570420156e-23 0.02808746656416181
471 -1.7218522575853106e-17 4.3232429695345784e-23 0.03263317458887816
481 -1.7218533199616934e-17 4.802444451668345e-23 0.03625033553493618
491 -1.7218544151317316e-17 5.64692311838878e-23 0.0426247216061955
501 -1.7217448101858746e-17 6.159138575668332e-23 0.04649108224387328
511 -1.7217460827930373e-17 5.723676072560956e-23 0.043204076634669054
521 -1.721747353130009e-17 6.178636642550623e-23 0.04663825968108864
531 -1.7217486691389902e-17 6.632608140972425e-23 0.05006497690951408
541 -1.721750075962599e-17 7.509536365435814e-23 0.05668430227533072
551 -1.72175156939641e-17 8.52847983888843e-23 0.06437560264861436
561 -1.7217530720530775e-17 8.611976526575868e-23 0.06500586146268017
571 -1.7217544432534656e-17 7.89431034525504e-23 0.05958869523894203
581 -1.7217556385288063e-17 4.907418559822533e-23 0.0370427125590469
591 -1.7217567068406017e-17 4.812481254271685e-23 0.03632609642415221
601 -1.7217577011509225e-17 4.018582200736839e-23 0.03033350091135899
611 -1.721758648694434e-17 3.4989818129171685e-23 0.02641139653470085
621 -1.7217595758703262e-17 3.488171086244744e-23 0.026329793827330493
631 -1.721760509638988e-17 3.6773448941705643e-23 0.027757736218074914
641 -1.7217614599323326e-17 3.904966598075853e-23 0.029475895214944543
651 -1.7217624349154108e-17 3.5674125647752583e-23 0.026927933007059618
661 -1.7217634484063413e-17 3.8838362900929435e-23 0.02931639711724746
671 -1.7217644632278376e-17 4.673253932267026e-23 0.035275165551532504
681 -1.721765483389089e-17 4.6558248851238303e-23 0.03514360571500476
691 -1.7217665628441967e-17 5.1882009306054326e-23 0.03916214470565695
701 -1.7217677340376456e-17 5.732751022098313e-23 0.043272577159558526
711 -1.7217689815629844e-17 6.787426356670273e-23 0.05123359266810291
