#step up uk temperature
0 -8.209277334390772e-18 5.836710936068702e-20 88.11459746480529
10 -8.292097835226244e-18 1.2046730809698672e-19 181.86489748941233
20 -8.396295184841119e-18 2.0206508086016887e-19 305.0499409120907
30 -8.477712230640963e-18 2.8347893765151166e-19 427.95733341109855
40 -8.525704989985492e-18 2.7286163562348717e-19 411.9287977407717
50 -8.556642484438726e-18 1.8035696838677018e-19 272.2780319848584
60 -8.567619472418868e-18 7.797481668456042e-20 117.71560489818904
70 -8.578343581928767e-18 2.266029430995867e-20 34.209381506580115
80 -8.587155710381214e-18 1.6270202073750684e-20 24.562503130662265
90 -8.594582024537115e-18 1.569287961004077e-20 23.69094144027894
100 -8.600486276164488e-18 1.5415967653500092e-20 23.27289802762695
110 -8.604052945328826e-18 1.5692257074682357e-20 23.69000162240694
120 -8.605019029782921e-18 1.4227139382315192e-20 21.478169357359892
130 -8.605877166799194e-18 3.0507801997919926e-21 4.605646436884047
140 -8.607520040888517e-18 1.6283629327345978e-21 2.4582773742974
150 -8.607889952157312e-18 1.6472681406033363e-21 2.4868178451137326
160 -8.60813770048855e-18 9.04817110995635e-22 1.3659678608025891
170 -8.60832882638032e-18 4.976134247271943e-22 0.7512279962668997
180 -8.608467893017681e-18 5.853715982887576e-22 0.8837131616678103
190 -8.608561528047033e-18 4.986294880076776e-22 0.7527619082241509
200 -8.609754953401776e-18 4.234851400639001e-22 0.6393193539612019
210 -8.609830882777445e-18 2.892014041564744e-22 0.43659632269999155
220 -8.609881747248197e-18 1.628992847566624e-22 0.2459228332679082
230 -8.608808625972734e-18 1.1012652303265217e-22 0.16625380892610533
240 -8.608837940327851e-18 9.290695353807598e-23 0.14025808203211954
250 -8.608864484375029e-18 7.77559031780254e-23 0.11738511953204318
260 -8.608887965243442e-18 9.968199861128509e-23 0.15048610901462123
270 -8.608906705861482e-18 8.922167585977531e-23 0.1346945589670521
280 -8.608921841638453e-18 6.098733900249527e-23 0.09207025815594093
290 -8.610042158665075e-18 5.0131149288765914e-23 0.07568108286347511
300 -8.610054211370937e-18 4.641312977501794e-23 0.07006813069900052
310 -8.610066396250106e-18 4.890875772964107e-23 0.07383568497832288
320 -8.61007811077929e-18 5.848738098947459e-23 0.08829616695270923
330 -8.610087769357555e-18 3.402828606353274e-23 0.05137120480605788
340 -8.610095287125661e-18 2.862011338022082e-23 0.04320669290492274
350 -8.610101308824532e-18 2.4647955036599905e-23 0.037210077048007106
360 -8.610105778755678e-18 2.166901599959319e-23 0.032712886472815804
370 -8.610109624609696e-18 1.0129045487974255e-23 0.015291433405758234
380 -8.610113302068219e-18 1.1608929820649933e-23 0.017525558304121277
390 -8.610116362542405e-18 1.3007821831073267e-23 0.019637412184591287
400 -8.610118911918364e-18 7.826941858408348e-24 0.011816035414263812
410 -8.610121383258881e-18 8.105825901792102e-24 0.012237056011159575
420 -8.610123647177007e-18 8.633266222935777e-24 0.013033312534625268
430 -8.61012555829882e-18 8.205965935758002e-24 0.012388233598668481
440 -8.610127344788748e-18 9.024532834754357e-24 0.013623992806090515
450 -8.61012902441681e-18 5.396219829041282e-24 0.008146467133214496
460 -8.61013061964801e-18 6.815178429256255e-24 0.010288614778466569
470 -8.61013206415819e-18 7.592412892627216e-24 0.011461975985246401
480 -8.610133371774019e-18 6.494038241880049e-24 0.009803801693659495
490 -8.61013465540012e-18 4.555103161170668e-24 0.006876665400318038
500 -8.610135849192402e-18 5.746041615536204e-24 0.008674579733599341
510 -8.610136898148255e-18 4.513693433780463e-24 0.006814150715248284
520 -8.610137919021878e-18 4.298159244502236e-24 0.006488766975395887
530 -8.610138853845134e-18 4.102548352727017e-24 0.006193460677426052
540 -8.610139669646852e-18 4.4979655249439396e-24 0.006790406891521648
550 -8.610140392002404e-18 3.746728420952737e-24 0.005656292906027684
560 -8.610141111635286e-18 3.8673005298200956e-24 0.005838316017240483
570 -8.610141845528767e-18 3.610006405207639e-24 0.005449888896750662
